sequence,target
80 81 10 154 35 1 1 1 1 1 1 1 1 1 1,2
36 23 1205 178 540 117 1762 1 1 1 1 1 1 1 1,5
320 23 34 3419 3 1 1 1 1 1 1 1 1 1 1,0
717 63 592 15 65 4905 719 916 68 1 1 1 1 1 1,0
106 4906 4 154 1 1 1 1 1 1 1 1 1 1 1,1
1788 151 438 1658 95 1 1 1 1 1 1 1 1 1 1,6
7 8 9 10 11 1 1 1 1 1 1 1 1 1 1,8
14 15 23 140 4 1762 256 1 1 1 1 1 1 1 1,7
7 8 23 55 56 10 623 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 391 4 96 296 171 98 35 1 1,0
301 325 29 10 223 6 1 1 1 1 1 1 1 1 1,2
1336 7 2510 4907 117 1766 10 69 898 1476 1 1 1 1 1,0
2184 2720 594 4908 1 1 1 1 1 1 1 1 1 1 1,3
14 15 23 100 301 29 10 53 1 1 1 1 1 1 1,6
40 23 1140 641 113 114 115 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 9 519 117 441 119 4 216 217 1,8
58 29 4909 858 1 1 1 1 1 1 1 1 1 1 1,9
2 95 10 4910 1 1 1 1 1 1 1 1 1 1 1,0
14 15 230 813 10 98 1 1 1 1 1 1 1 1 1,0
40 23 100 98 369 370 7 1 1 1 1 1 1 1 1,5
36 23 548 2 95 1 1 1 1 1 1 1 1 1 1,1
9 7 1 1 1 1 1 1 1 1 1 1 1 1 1,8
36 114 115 4 1278 4911 1 1 1 1 1 1 1 1 1,0
7 23 9 4 5 1 1 1 1 1 1 1 1 1 1,8
14 15 121 29 10 2765 1 1 1 1 1 1 1 1 1,0
81 4912 4 319 1 1 1 1 1 1 1 1 1 1 1,0
659 261 257 153 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 121 4 256 10 378 167 1 1 1 1 1 1,4
36 23 48 4913 1 1 1 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 27 28 29 152 10 82 35 1 1,6
40 23 58 95 17 160 1 1 1 1 1 1 1 1 1,9
36 23 420 2926 151 420 95 1 1 1 1 1 1 1 1,6
36 23 48 29 4 289 669 10 260 261 1 1 1 1 1,8
151 162 29 10 5 29 1 1 1 1 1 1 1 1 1,6
14 15 106 107 10 161 1 1 1 1 1 1 1 1 1,6
9 7 10 1729 1 1 1 1 1 1 1 1 1 1 1,8
14 15 148 29 10 134 1 1 1 1 1 1 1 1 1,0
4914 1 1 1 1 1 1 1 1 1 1 1 1 1 1,8
77 349 28 79 7 23 27 28 29 4 245 74 10 309 35 ,6
255 15 4218 719 2286 68 1 1 1 1 1 1 1 1 1,6
9 4 1559 1 1 1 1 1 1 1 1 1 1 1 1,6
2031 4 109 1 1 1 1 1 1 1 1 1 1 1 1,7
439 14 15 9 7 117 2165 1 1 1 1 1 1 1 1,8
81 95 10 43 1 1 1 1 1 1 1 1 1 1 1,5
14 15 23 48 661 29 10 34 1 1 1 1 1 1 1,6
77 302 7 8 9 117 4506 525 4915 119 4 816 384 1 1,8
88 224 4 1706 1 1 1 1 1 1 1 1 1 1 1,0
14 15 1175 109 95 10 34 1 1 1 1 1 1 1 1,5
77 302 7 8 29 555 4 4916 148 10 618 35 1 1 1,6
14 289 104 296 655 29 10 4226 1 1 1 1 1 1 1,6
4917 33 10 134 35 1 1 1 1 1 1 1 1 1 1,6
109 95 10 18 35 1 1 1 1 1 1 1 1 1 1,5
14 15 301 325 29 1 1 1 1 1 1 1 1 1 1,6
27 28 29 4 749 153 10 160 35 1 1 1 1 1 1,6
36 23 9 116 4 4828 525 10 943 119 1 1 1 1 1,6
14 15 23 48 29 4 655 10 173 1 1 1 1 1 1,6
14 15 109 95 10 185 1 1 1 1 1 1 1 1 1,6
7 8 9 10 11 1 1 1 1 1 1 1 1 1 1,8
36 23 106 81 4918 10 208 1 1 1 1 1 1 1 1,6
1042 70 1890 1071 1 1 1 1 1 1 1 1 1 1 1,3
77 78 28 79 7 23 29 4 661 10 2045 1 1 1 1,6
40 23 792 236 17 190 1 1 1 1 1 1 1 1 1,6
442 140 223 1 1 1 1 1 1 1 1 1 1 1 1,7
14 15 23 148 29 10 2707 1 1 1 1 1 1 1 1,6
7 8 9 519 1 1 1 1 1 1 1 1 1 1 1,0
787 14 15 9 7 117 4919 1 1 1 1 1 1 1 1,8
389 8 1633 117 151 163 10 161 1 1 1 1 1 1 1,5
521 15 4569 196 720 68 1 1 1 1 1 1 1 1 1,8
7 1483 29 4 55 325 10 1816 1 1 1 1 1 1 1,6
36 23 2 10 76 1 1 1 1 1 1 1 1 1 1,1
77 302 7 8 9 117 3865 525 1 1 1 1 1 1 1,8
7 8 117 48 408 280 4 4920 1 1 1 1 1 1 1,8
77 302 7 8 29 555 4 249 250 152 10 400 1 1 1,6
122 102 1014 15 2099 4921 63 447 60 917 1 1 1 1 1,5
36 23 208 35 1 1 1 1 1 1 1 1 1 1 1,6
320 23 1842 10 204 1 1 1 1 1 1 1 1 1 1,6
327 566 4 131 1 1 1 1 1 1 1 1 1 1 1,1
8 2792 2793 153 10 623 181 1 1 1 1 1 1 1 1,6
36 23 5 396 296 280 984 4922 1 1 1 1 1 1 1,7
36 23 309 778 4923 95 1 1 1 1 1 1 1 1 1,6
14 15 23 4 778 1720 10 309 1 1 1 1 1 1 1,6
7 8 28 16 117 392 393 1091 1 1 1 1 1 1 1,3
36 23 825 10 486 1 1 1 1 1 1 1 1 1 1,5
74 4 810 17 34 1 1 1 1 1 1 1 1 1 1,6
36 23 4924 2006 80 4 1749 1 1 1 1 1 1 1 1,0
101 2885 3834 1 1 1 1 1 1 1 1 1 1 1 1,2
36 23 548 803 837 4925 114 1 1 1 1 1 1 1 1,0
77 302 7 8 117 586 294 4 384 216 217 1 1 1 1,8
36 23 2590 5 140 945 551 7 1 1 1 1 1 1 1,0
36 23 5 2 1635 95 1 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 27 28 29 4 245 74 10 5 35 ,6
14 15 128 4 98 1 1 1 1 1 1 1 1 1 1,4
29 4 148 10 48 100 98 1 1 1 1 1 1 1 1,6
36 23 9 116 10 526 119 742 4926 1 1 1 1 1 1,8
77 349 28 79 23 121 4 208 742 732 167 4 216 217 1,4
7 8 4 204 296 1394 1153 1 1 1 1 1 1 1 1,4
1202 488 4 43 33 1 1 1 1 1 1 1 1 1 1,6
29 117 58 10 255 35 1 1 1 1 1 1 1 1 1,8
5 701 106 614 29 1 1 1 1 1 1 1 1 1 1,6
2 1411 17 190 1 1 1 1 1 1 1 1 1 1 1,1
36 23 48 9 116 4 4927 3396 1 1 1 1 1 1 1,8
77 302 7 8 9 4 475 119 1 1 1 1 1 1 1,8
36 23 9 37 4928 39 1 1 1 1 1 1 1 1 1,8
387 1057 325 10 18 1 1 1 1 1 1 1 1 1 1,6
148 10 154 35 1 1 1 1 1 1 1 1 1 1 1,5
36 23 83 108 95 10 456 1 1 1 1 1 1 1 1,6
564 151 33 10 18 35 1 1 1 1 1 1 1 1 1,6
14 15 104 29 4 5 1 1 1 1 1 1 1 1 1,6
7 8 280 4 105 1 1 1 1 1 1 1 1 1 1,7
29 4 4929 94 10 5 1 1 1 1 1 1 1 1 1,6
289 104 17 260 261 1 1 1 1 1 1 1 1 1 1,6
77 40 23 2 193 117 1118 1 1 1 1 1 1 1 1,5
83 108 29 10 260 261 1 1 1 1 1 1 1 1 1,6
717 102 151 905 363 1769 68 1 1 1 1 1 1 1 1,6
9 7 1 1 1 1 1 1 1 1 1 1 1 1 1,8
27 28 167 121 1 1 1 1 1 1 1 1 1 1 1,4
77 78 28 79 7 23 9 4 248 4930 119 1 1 1 1,8
5 2451 10 5 35 1 1 1 1 1 1 1 1 1 1,0
14 15 29 4 612 614 1 1 1 1 1 1 1 1 1,6
320 23 171 721 153 1 1 1 1 1 1 1 1 1 1,0
774 95 10 670 1 1 1 1 1 1 1 1 1 1 1,0
869 102 1014 102 1484 314 315 68 1 1 1 1 1 1 1,6
14 15 4071 29 10 309 1 1 1 1 1 1 1 1 1,4
77 78 28 79 23 4931 5 35 1 1 1 1 1 1 1,7
245 7 10 235 1 1 1 1 1 1 1 1 1 1 1,7
8 178 117 902 10 154 1 1 1 1 1 1 1 1 1,0
7 23 154 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 420 171 325 95 1 1 1 1 1 1 1 1 1,6
7 8 55 56 10 5 1 1 1 1 1 1 1 1 1,0
16 10 171 6 1 1 1 1 1 1 1 1 1 1 1,3
36 23 9 116 10 791 4932 525 1 1 1 1 1 1 1,8
4519 1 1 1 1 1 1 1 1 1 1 1 1 1 1,6
7 4 406 373 1 1 1 1 1 1 1 1 1 1 1,8
1010 122 2525 135 102 699 68 1 1 1 1 1 1 1 1,0
77 349 28 79 7 23 9 4 3507 119 1 1 1 1 1,8
2135 259 10 5 35 1 1 1 1 1 1 1 1 1 1,8
4933 7 1 1 1 1 1 1 1 1 1 1 1 1 1,3
58 95 10 1848 1 1 1 1 1 1 1 1 1 1 1,9
140 4 161 7 1 1 1 1 1 1 1 1 1 1 1,0
36 23 4934 3946 171 1 1 1 1 1 1 1 1 1 1,3
27 28 29 55 325 10 623 417 1 1 1 1 1 1 1,6
58 153 10 2033 46 1 1 1 1 1 1 1 1 1 1,0
77 40 117 451 74 17 34 1 1 1 1 1 1 1 1,6
7 8 3991 3305 10 623 417 1 1 1 1 1 1 1 1,6
9 116 4 1027 119 1 1 1 1 1 1 1 1 1 1,8
36 23 55 56 10 309 1 1 1 1 1 1 1 1 1,6
14 15 23 163 813 10 208 1 1 1 1 1 1 1 1,6
14 15 114 115 117 2103 2104 899 1 1 1 1 1 1 1,3
7 8 9 10 1261 1 1 1 1 1 1 1 1 1 1,8
36 23 1443 95 10 402 106 1 1 1 1 1 1 1 1,6
36 23 193 4 4935 4936 2258 1 1 1 1 1 1 1 1,6
77 213 9 7 4 732 119 4 216 217 1 1 1 1 1,8
36 23 1240 56 95 10 2790 1266 1 1 1 1 1 1 1,6
9 7 4 4937 2400 1 1 1 1 1 1 1 1 1 1,8
5 225 2 95 1 1 1 1 1 1 1 1 1 1 1,0
7 8 9 4 234 1 1 1 1 1 1 1 1 1 1,8
14 15 148 29 10 1961 1 1 1 1 1 1 1 1 1,6
27 28 80 575 10 5 1 1 1 1 1 1 1 1 1,0
324 325 29 10 97 98 35 1 1 1 1 1 1 1 1,6
4938 179 10 623 1 1 1 1 1 1 1 1 1 1 1,6
122 102 1014 15 391 63 447 60 917 1 1 1 1 1 1,5
14 15 23 704 81 10 5 1 1 1 1 1 1 1 1,8
36 23 9 1199 117 912 294 1 1 1 1 1 1 1 1,8
7 8 29 4 55 56 10 319 1 1 1 1 1 1 1,6
77 213 7 8 3289 4 5 35 1 1 1 1 1 1 1,0
3308 3113 296 3308 16 1 1 1 1 1 1 1 1 1 1,3
36 23 327 178 10 309 1 1 1 1 1 1 1 1 1,5
29 4 151 330 10 376 1 1 1 1 1 1 1 1 1,6
36 23 1421 4939 10 43 1 1 1 1 1 1 1 1 1,6
14 15 140 4 149 1 1 1 1 1 1 1 1 1 1,1
7 8 28 9 10 579 1 1 1 1 1 1 1 1 1,6
1930 10 18 1 1 1 1 1 1 1 1 1 1 1 1,0
36 23 289 104 95 10 82 1 1 1 1 1 1 1 1,5
4940 1254 576 102 193 1 1 1 1 1 1 1 1 1 1,0
36 23 151 152 10 955 956 1 1 1 1 1 1 1 1,6
4941 3263 132 4019 68 1857 102 1014 15 1 1 1 1 1 1,0
100 565 29 10 154 1 1 1 1 1 1 1 1 1 1,6
14 15 109 95 4 150 1 1 1 1 1 1 1 1 1,1
36 23 4942 9 116 1 1 1 1 1 1 1 1 1 1,8
86 7 1 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 96 29 10 1146 1 1 1 1 1 1 1 1 1,6
36 23 29 303 4 171 108 10 1120 261 1 1 1 1 1,6
14 15 23 29 4 4943 10 251 1 1 1 1 1 1 1,6
36 23 274 1820 563 1 1 1 1 1 1 1 1 1 1,5
573 175 1 1 1 1 1 1 1 1 1 1 1 1 1,5
36 23 946 296 2140 558 117 955 956 1 1 1 1 1 1,5
14 15 49 29 10 208 1 1 1 1 1 1 1 1 1,6
14 15 23 58 29 10 1502 35 4 2765 1 1 1 1 1,9
14 15 355 171 2693 56 29 1 1 1 1 1 1 1 1,6
36 23 883 82 387 388 2 95 1 1 1 1 1 1 1,1
27 28 29 4 230 10 1784 1 1 1 1 1 1 1 1,0
4944 2778 1 1 1 1 1 1 1 1 1 1 1 1 1,0
14 15 106 107 10 531 1 1 1 1 1 1 1 1 1,6
2796 3743 102 4945 501 1 1 1 1 1 1 1 1 1 1,6
27 28 29 795 10 5 6 1 1 1 1 1 1 1 1,6
3381 1818 1 1 1 1 1 1 1 1 1 1 1 1 1,8
36 23 18 387 388 1432 1 1 1 1 1 1 1 1 1,1
14 15 23 704 81 10 2938 983 1 1 1 1 1 1 1,5
3311 15 148 29 10 2765 1 1 1 1 1 1 1 1 1,6
122 15 131 132 133 1 1 1 1 1 1 1 1 1 1,1
78 28 79 23 819 820 1014 1679 823 1 1 1 1 1 1,3
36 23 327 109 178 117 4946 96 1 1 1 1 1 1 1,6
36 23 3385 9 116 1 1 1 1 1 1 1 1 1 1,8
36 23 1162 945 121 296 4947 4 1033 1 1 1 1 1 1,0
151 1954 10 161 1 1 1 1 1 1 1 1 1 1 1,6
14 15 1421 94 29 10 1604 282 1 1 1 1 1 1 1,6
14 15 29 4 48 49 10 154 35 1 1 1 1 1 1,6
36 23 2916 296 2297 1292 7 1 1 1 1 1 1 1 1,5
1212 178 117 46 1 1 1 1 1 1 1 1 1 1 1,5
109 243 10 5 35 1 1 1 1 1 1 1 1 1 1,5
29 4 1487 4948 10 260 261 1 1 1 1 1 1 1 1,0
7 8 9 10 960 1 1 1 1 1 1 1 1 1 1,8
36 23 96 2231 95 10 161 1 1 1 1 1 1 1 1,5
4949 95 1 1 1 1 1 1 1 1 1 1 1 1 1,0
36 23 9 37 4950 39 1 1 1 1 1 1 1 1 1,8
1203 15 2589 63 447 60 1482 1 1 1 1 1 1 1 1,0
36 23 85 121 4 160 1 1 1 1 1 1 1 1 1,4
14 15 114 511 218 28 127 1439 1 1 1 1 1 1 1,4
77 78 28 79 7 23 9 4 1129 1 1 1 1 1 1,8
40 23 55 56 4 376 1 1 1 1 1 1 1 1 1,6
29 117 151 236 10 659 261 1 1 1 1 1 1 1 1,6
7 23 569 261 1 1 1 1 1 1 1 1 1 1 1,6
7 8 27 28 29 4951 887 10 5 35 1 1 1 1 1,6
749 29 10 18 35 742 88 224 1 1 1 1 1 1 1,0
36 23 408 280 117 4952 1 1 1 1 1 1 1 1 1,7
14 15 9 7 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 121 4 2765 10 2631 723 1 1 1 1 1 1,4
2845 33 949 4953 708 1 1 1 1 1 1 1 1 1 1,6
104 74 17 127 1 1 1 1 1 1 1 1 1 1 1,2
7 117 96 189 29 10 34 2387 35 1 1 1 1 1 1,5
36 23 151 236 10 376 1 1 1 1 1 1 1 1 1,6
4954 1 1 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 9 116 10 4955 1 1 1 1 1 1 1 1 1,8
40 23 326 236 17 190 1 1 1 1 1 1 1 1 1,6
77 302 7 8 29 555 4 325 10 2036 983 35 1 1 1,0
77 78 28 79 27 28 29 661 10 4956 35 1 1 1 1,6
14 15 49 29 10 48 59 35 4 127 1 1 1 1 1,6
77 78 28 79 7 23 27 28 29 871 10 160 1 1 1,6
14 15 825 29 10 531 1 1 1 1 1 1 1 1 1,6
14 15 29 4 55 56 10 711 1 1 1 1 1 1 1,6
77 213 7 8 29 555 4878 74 10 160 35 1 1 1 1,6
36 23 344 2 95 10 309 1 1 1 1 1 1 1 1,5
2471 7 1 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 148 29 10 2450 1 1 1 1 1 1 1 1 1,6
4957 1053 2468 503 3801 523 68 1 1 1 1 1 1 1 1,0
36 23 2675 756 95 1 1 1 1 1 1 1 1 1 1,6
14 15 23 55 56 29 10 1604 282 1 1 1 1 1 1,6
151 152 148 29 10 5 6 1 1 1 1 1 1 1 1,8
9 7 119 4958 1 1 1 1 1 1 1 1 1 1 1,8
148 682 10 2426 1785 1 1 1 1 1 1 1 1 1 1,6
389 117 1576 1 1 1 1 1 1 1 1 1 1 1 1,3
7 8 2 193 10 18 1 1 1 1 1 1 1 1 1,8
7 23 955 956 1 1 1 1 1 1 1 1 1 1 1,6
7 142 1 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 2159 43 387 388 1432 1 1 1 1 1 1 1 1,1
661 29 4 5 1 1 1 1 1 1 1 1 1 1 1,6
3311 15 148 29 10 256 1 1 1 1 1 1 1 1 1,6
36 23 5 396 296 280 482 1 1 1 1 1 1 1 1,7
36 23 151 236 95 10 43 1 1 1 1 1 1 1 1,6
14 15 16 17 369 1241 1 1 1 1 1 1 1 1 1,3
36 23 1118 344 388 2 566 1 1 1 1 1 1 1 1,5
18 102 1014 15 131 102 2026 4959 102 103 836 1 1 1 1,1
58 1040 4 1106 1 1 1 1 1 1 1 1 1 1 1,0
286 140 7 4 18 1 1 1 1 1 1 1 1 1 1,7
29 4 323 33 10 5 1 1 1 1 1 1 1 1 1,6
153 10 420 1057 296 4960 325 1 1 1 1 1 1 1 1,6
439 14 15 29 4 1779 10 208 1 1 1 1 1 1 1,6
9 4 2623 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 10 98 85 7 10 128 1 1 1 1 1 1,4
36 23 553 554 263 95 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 27 28 29 4 245 74 10 185 35 ,6
320 23 9 7 1 1 1 1 1 1 1 1 1 1 1,8
7 8 9 10 234 1 1 1 1 1 1 1 1 1 1,8
100 565 29 10 154 1 1 1 1 1 1 1 1 1 1,6
36 23 9 1199 10 401 1 1 1 1 1 1 1 1 1,8
58 95 18 35 1 1 1 1 1 1 1 1 1 1 1,9
2812 15 1107 1 1 1 1 1 1 1 1 1 1 1 1,6
16 63 620 15 103 658 68 1 1 1 1 1 1 1 1,2
40 23 209 1435 85 121 1 1 1 1 1 1 1 1 1,5
36 23 29 4 151 1967 10 260 261 1 1 1 1 1 1,6
40 23 565 74 1 1 1 1 1 1 1 1 1 1 1,6
36 23 4961 9 116 1 1 1 1 1 1 1 1 1 1,8
29 4 1175 109 10 1467 1 1 1 1 1 1 1 1 1,5
14 15 597 7 1662 294 1 1 1 1 1 1 1 1 1,8
29 117 58 10 1106 1 1 1 1 1 1 1 1 1 1,6
36 23 527 243 10 486 1 1 1 1 1 1 1 1 1,5
14 15 109 95 10 127 1 1 1 1 1 1 1 1 1,5
185 1192 1611 1612 1 1 1 1 1 1 1 1 1 1 1,6
7 117 564 375 33 10 105 35 1 1 1 1 1 1 1,5
80 81 10 34 35 1 1 1 1 1 1 1 1 1 1,1
14 15 49 29 10 76 1 1 1 1 1 1 1 1 1,6
125 88 224 1 1 1 1 1 1 1 1 1 1 1 1,0
148 1433 10 48 154 6 1 1 1 1 1 1 1 1 1,6
36 23 274 327 566 1 1 1 1 1 1 1 1 1 1,5
14 15 85 7 4 4962 1 1 1 1 1 1 1 1 1,4
58 95 10 5 1 1 1 1 1 1 1 1 1 1 1,9
40 23 713 471 563 296 946 1 1 1 1 1 1 1 1,0
7 8 117 2 4963 10 410 35 1 1 1 1 1 1 1,0
14 15 29 4 867 230 33 10 134 1 1 1 1 1 1,6
36 23 701 236 95 10 5 1 1 1 1 1 1 1 1,2
29 4 151 230 10 208 1 1 1 1 1 1 1 1 1,6
7 8 9 4 11 1 1 1 1 1 1 1 1 1 1,8
14 15 29 4 98 324 325 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 4 248 490 119 1 1 1 1,8
77 349 28 79 7 23 27 28 29 902 10 160 35 1 1,9
14 15 369 121 4 379 612 1 1 1 1 1 1 1 1,8
81 153 4 18 35 1 1 1 1 1 1 1 1 1 1,6
29 4 96 4964 10 142 1 1 1 1 1 1 1 1 1,6
4965 4966 10 208 1 1 1 1 1 1 1 1 1 1 1,1
14 15 33 29 10 76 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 10 248 768 119 1 1 1 1,8
40 23 2796 2967 1 1 1 1 1 1 1 1 1 1 1,8
2 3 4 5 1 1 1 1 1 1 1 1 1 1 1,1
14 15 29 564 151 10 3334 1 1 1 1 1 1 1 1,6
7 8 9 1 1 1 1 1 1 1 1 1 1 1 1,5
36 23 151 162 95 10 1030 1 1 1 1 1 1 1 1,6
2 3 10 5 35 1 1 1 1 1 1 1 1 1 1,1
77 78 28 79 7 23 9 10 1080 294 1 1 1 1 1,8
14 15 1366 218 4609 1 1 1 1 1 1 1 1 1 1,9
58 29 10 154 1 1 1 1 1 1 1 1 1 1 1,9
36 23 29 4 1192 45 10 4967 623 1 1 1 1 1 1,6
289 104 95 1 1 1 1 1 1 1 1 1 1 1 1,6
3311 15 148 29 10 161 1 1 1 1 1 1 1 1 1,6
77 78 28 9 7 4 435 119 1 1 1 1 1 1 1,8
198 54 15 9 7 1 1 1 1 1 1 1 1 1 1,8
7 8 27 28 29 4 661 10 256 1 1 1 1 1 1,6
29 117 488 10 881 1697 1 1 1 1 1 1 1 1 1,6
148 74 10 34 1 1 1 1 1 1 1 1 1 1 1,6
36 23 151 230 29 10 173 1 1 1 1 1 1 1 1,6
7 117 18 4968 193 10 4969 1 1 1 1 1 1 1 1,5
14 15 9 116 10 990 1 1 1 1 1 1 1 1 1,8
77 302 7 8 9 117 4434 119 4 515 384 1 1 1 1,8
36 23 944 3946 803 837 114 115 1 1 1 1 1 1 1,3
36 23 152 95 10 2832 1 1 1 1 1 1 1 1 1,6
14 15 151 236 33 29 10 98 1 1 1 1 1 1 1,6
106 107 659 261 1 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 7 117 2353 525 10 768 119 216 217 384 ,8
14 15 4970 4971 117 4972 1 1 1 1 1 1 1 1 1,4
4973 1053 758 102 4974 63 447 4975 4975 4976 2242 4977 68 1 1,0
40 23 109 117 161 1 1 1 1 1 1 1 1 1 1,5
77 349 28 79 7 23 27 28 80 81 4 5 35 1 1,5
14 15 29 4 33 1 1 1 1 1 1 1 1 1 1,6
344 193 117 4978 5 1 1 1 1 1 1 1 1 1 1,1
27 28 29 245 33 10 53 35 1 1 1 1 1 1 1,6
36 23 408 280 117 5 3260 1 1 1 1 1 1 1 1,7
9 519 117 248 2374 119 4 216 217 1 1 1 1 1 1,8
14 15 33 29 10 4979 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 280 4 105 2205 1 1 1 1 1,7
36 23 85 121 160 1 1 1 1 1 1 1 1 1 1,4
36 23 5 702 316 317 1 1 1 1 1 1 1 1 1,7
14 15 29 100 55 379 106 1 1 1 1 1 1 1 1,6
245 4187 29 10 309 1 1 1 1 1 1 1 1 1 1,6
14 15 163 29 10 233 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 519 117 490 294 1 1 1 1,8
77 302 7 8 27 28 29 151 436 10 319 35 1 1 1,6
14 15 16 17 2297 3636 1 1 1 1 1 1 1 1 1,0
36 23 9 116 10 943 119 742 1845 525 1 1 1 1 1,8
787 14 15 9 7 117 788 1 1 1 1 1 1 1 1,8
7 23 167 121 1 1 1 1 1 1 1 1 1 1 1,4
171 45 153 10 607 1 1 1 1 1 1 1 1 1 1,6
27 28 29 96 172 10 35 1 1 1 1 1 1 1 1,3
77 349 28 79 7 23 27 28 29 152 10 98 1 1 1,6
122 102 1014 15 4980 3283 1482 1 1 1 1 1 1 1 1,1
77 349 28 79 9 7 4 1200 119 1 1 1 1 1 1,8
23 9 7 10 2165 1 1 1 1 1 1 1 1 1 1,8
77 302 7 8 27 28 29 104 10 260 261 35 1 1 1,6
77 78 28 79 7 23 27 28 29 1320 10 97 98 35 1,6
4226 102 567 1 1 1 1 1 1 1 1 1 1 1 1,0
36 23 806 10 618 1762 1 1 1 1 1 1 1 1 1,6
14 15 23 117 704 81 10 154 1 1 1 1 1 1 1,5
14 15 245 29 10 3513 1 1 1 1 1 1 1 1 1,6
40 23 111 9 116 7 1 1 1 1 1 1 1 1 1,8
36 23 693 333 334 95 1 1 1 1 1 1 1 1 1,6
36 23 88 396 117 100 98 1 1 1 1 1 1 1 1,2
36 23 327 178 95 711 1 1 1 1 1 1 1 1 1,1
9 7 119 1471 1 1 1 1 1 1 1 1 1 1 1,8
36 23 4577 4981 10 43 1 1 1 1 1 1 1 1 1,5
369 121 10 4982 1 1 1 1 1 1 1 1 1 1 1,6
1207 15 16 17 773 1644 1 1 1 1 1 1 1 1 1,3
105 102 627 730 4463 1065 364 1480 1 1 1 1 1 1 1,6
36 23 1047 387 388 1432 1 1 1 1 1 1 1 1 1,1
54 15 23 9 2212 1 1 1 1 1 1 1 1 1 1,6
36 23 493 263 95 117 150 1 1 1 1 1 1 1 1,6
77 349 28 79 7 23 9 10 978 119 1 1 1 1 1,8
29 4 83 108 10 2426 261 1 1 1 1 1 1 1 1,6
77 349 28 79 7 23 9 4 248 1080 119 1 1 1 1,8
29 4 171 172 10 548 1216 28 245 534 1 1 1 1 1,6
36 23 1808 34 85 121 1 1 1 1 1 1 1 1 1,4
77 78 28 9 7 4 698 119 1 1 1 1 1 1 1,8
77 302 7 8 9 117 2167 294 4 384 216 217 1 1 1,8
36 23 55 56 33 95 10 309 1 1 1 1 1 1 1,6
148 29 10 18 6 1 1 1 1 1 1 1 1 1 1,2
122 102 1014 15 627 2123 1 1 1 1 1 1 1 1 1,6
7 8 225 88 224 4 5 1 1 1 1 1 1 1 1,0
29 4 58 10 208 1 1 1 1 1 1 1 1 1 1,0
81 296 666 4 1106 1 1 1 1 1 1 1 1 1 1,5
14 15 96 172 29 10 379 1 1 1 1 1 1 1 1,1
1366 117 632 612 1 1 1 1 1 1 1 1 1 1 1,9
14 15 29 33 10 4983 1 1 1 1 1 1 1 1 1,6
713 1699 1700 29 1 1 1 1 1 1 1 1 1 1 1,6
29 4 326 142 395 10 274 1 1 1 1 1 1 1 1,6
29 4 464 56 10 120 98 1 1 1 1 1 1 1 1,6
171 108 10 659 261 1 1 1 1 1 1 1 1 1 1,6
36 23 4984 803 837 114 115 1 1 1 1 1 1 1 1,3
40 23 301 325 10 5 1 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 9 4 3507 294 1 1 1 1 1,8
35 4985 10 18 1 1 1 1 1 1 1 1 1 1 1,6
77 349 28 79 7 23 9 4 2043 119 1 1 1 1 1,8
730 1756 7 1 1 1 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 10 9 1 1 1 1 1 1 1,7
49 2574 10 127 35 1 1 1 1 1 1 1 1 1 1,6
77 213 7 8 27 28 2096 81 4 160 35 1 1 1 1,1
14 15 29 4 96 189 190 1209 1 1 1 1 1 1 1,1
77 302 7 8 9 117 4434 119 4 816 384 1 1 1 1,8
14 15 23 1463 55 29 10 607 1 1 1 1 1 1 1,5
14 15 29 4 96 45 10 1146 1 1 1 1 1 1 1,5
9 1 1 1 1 1 1 1 1 1 1 1 1 1 1,4
29 4 83 108 10 34 1 1 1 1 1 1 1 1 1,6
14 15 29 612 614 10 255 35 1 1 1 1 1 1 1,6
7 8 193 4 2 10 235 35 1 1 1 1 1 1 1,1
148 153 10 161 1 1 1 1 1 1 1 1 1 1 1,0
36 23 34 387 388 2 566 1 1 1 1 1 1 1 1,5
194 63 195 196 2222 68 1 1 1 1 1 1 1 1 1,6
40 23 326 3671 42 95 1 1 1 1 1 1 1 1 1,6
77 349 28 79 7 23 9 10 894 294 1 1 1 1 1,8
14 15 151 436 29 10 1066 1 1 1 1 1 1 1 1,6
7 4 9 1 1 1 1 1 1 1 1 1 1 1 1,8
